Group	Time
Germanic	+0
Indo_European	-5000
Semitic	-5000
Insular_Celtic	+0
Turkic	+500
Tai-Kadai	-3000
Slavic	+0
Indo_Iranian	-2000
Viet-Muong	-3000
Atlantic_Congo	-3000
Niger_Congo	-10000
Mande	+0
Mongolic	+500
Sino-Tibetan	-10000
Mordvin	+0
Uralic	-10000
West_Semitic	-3000
North_West_Semitic	-2000
Arabic	+800
South_Slavic	+500
West_Slavic	+500
Iranian	-1000
Egyptian	-3000
Tupian	+0
Malayo-Sumbawan	+0
Armenian	+0
Korean	+0
Defoid	+0
Sami	+0
Northern_Atlantic	+0
Baltic	+0
Finnic	+0
Greek	-1500
Ugric	-2000
Hindustani	+1800
Basque	+1800
Japanese	+0
Afroasiatic	-10000
Serbo_Croatian	+1900
Creole_Naija	+1900
